"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
10.897,-0.028644,0.089182,-0.020171,0.0011971,,
9.2736,-0.025442,0.083452,0.0071921,0.024301,,
7.6393,-0.021998,0.068029,0.033892,0.048602,,
5.7529,-0.018307,0.050145,0.06009,0.068115,,
3.7879,-0.014359,0.036488,0.082181,0.083917,,
1.7052,-0.010149,0.010436,0.10255,0.10475,,
-0.56736,-0.0056953,-0.0094138,0.11886,0.11408,,
-2.8086,-0.00098488,-0.036209,0.12917,0.12222,,
-5.182,0.0039449,-0.070463,0.13847,0.13252,,
-7.6664,0.0090561,-0.093461,0.14293,0.12797,,
-10.1071,0.014307,-0.12589,0.14028,0.12677,,
-12.7174,0.019637,-0.15875,0.13617,0.12127,,
-15.2747,0.024973,-0.1895,0.12625,0.10738,,
-17.7808,0.030233,-0.22915,0.11171,0.10056,,
-20.2738,0.03532,-0.25452,0.093452,0.07853,,
-22.4737,0.040128,-0.28241,0.071281,0.05782,,
-24.5132,0.044558,-0.31411,0.047094,0.041899,,
-26.327,0.048501,-0.33518,0.019826,0.016041,,
-27.7551,0.051872,-0.36045,-0.0077756,-0.0089783,,
-28.9872,0.054572,-0.37759,-0.034711,-0.030047,,
-29.8001,0.056528,-0.385,-0.062982,-0.055067,,
-30.2065,0.057692,-0.399,-0.087188,-0.073263,,
-30.2928,0.058035,-0.39508,-0.11029,-0.096367,,
-29.8184,0.057544,-0.39393,-0.13081,-0.11468,,
-28.9766,0.056242,-0.39202,-0.14728,-0.12689,,
-27.7851,0.054186,-0.37531,-0.16022,-0.14102,,
-26.155,0.051434,-0.36445,-0.17078,-0.14664,,
-24.3864,0.048114,-0.34755,-0.17362,-0.15574,,
-22.3338,0.044311,-0.32417,-0.17754,-0.16305,,
-20.1187,0.040194,-0.30581,-0.17733,-0.1585,,
-17.9032,0.035897,-0.27725,-0.17206,-0.16496,,
-15.5334,0.031576,-0.24982,-0.16668,-0.16041,,
-13.2622,0.027375,-0.22673,-0.15781,-0.15024,,
-11.1471,0.023455,-0.20022,-0.14599,-0.15083,,
-9.1436,0.019931,-0.17827,-0.13491,-0.13994,,
-7.5277,0.016912,-0.15673,-0.12185,-0.13012,,
-6.1659,0.014497,-0.134,-0.11312,-0.12282,,
-5.1172,0.012733,-0.11923,-0.10449,-0.10906,,
-4.4818,0.011635,-0.098365,-0.096372,-0.10511,,
-4.0443,0.011214,-0.084084,-0.087676,-0.098402,,
-3.9506,0.011417,-0.073786,-0.080351,-0.083677,,
-4.1429,0.012159,-0.054987,-0.072988,-0.075657,,
-4.4702,0.01336,-0.047887,-0.066104,-0.061651,,
-5.099,0.014884,-0.037538,-0.055929,-0.045131,,
-5.774,0.016593,-0.026237,-0.04456,-0.034237,,
-6.4645,0.018336,-0.021744,-0.031797,-0.014365,,
-7.195,0.019969,-0.0036548,-0.016063,0.0035913,,
-7.6558,0.021335,0.010649,0.00088613,0.022625,,
-7.9596,0.022304,0.02254,0.023768,0.052792,,
-8.0406,0.02275,0.04527,0.049813,0.07422,,
-7.7317,0.022569,0.060448,0.083598,0.1087,,
-7.2398,0.021704,0.081484,0.11997,0.14377,,
-6.3576,0.020109,0.1105,0.15863,0.1749,,
-5.1332,0.017793,0.13378,0.20069,0.21584,,
-3.6617,0.014763,0.16893,0.24566,0.25031,,
-1.7524,0.011096,0.20117,0.2895,0.28874,,
0.36672,0.0068782,0.22949,0.33551,0.32884,,
2.658,0.0022161,0.26762,0.37795,0.35721,,
5.1653,-0.0027652,0.29666,0.41756,0.38834,,
7.5849,-0.0079132,0.32693,0.45344,0.41767,,
10.0445,-0.013094,0.35863,0.48252,0.43479,,
12.4298,-0.018153,0.37674,0.50637,0.45837,,
14.5733,-0.022947,0.40062,0.52355,0.46591,,
16.6531,-0.027369,0.41792,0.52933,0.46759,,
18.4298,-0.031312,0.42539,0.52875,0.46866,,
19.8842,-0.034693,0.43613,0.51776,0.45023,,
21.1008,-0.037452,0.43524,0.49554,0.43479,,
21.8494,-0.039583,0.42869,0.46566,0.40821,,
22.307,-0.041069,0.41967,0.42522,0.36703,,
22.4518,-0.041942,0.39671,0.37704,0.32944,,
22.223,-0.042243,0.37921,0.32142,0.27773,,
21.879,-0.042043,0.3547,0.2595,0.22482,,
21.2784,-0.041418,0.32085,0.19494,0.1737,,
20.4817,-0.040459,0.29223,0.12688,0.11049,,
19.6528,-0.039244,0.25249,0.05765,0.049321,,
18.6019,-0.037855,0.2131,-0.01046,-0.010295,,
17.553,-0.036367,0.17606,-0.079554,-0.074699,,
16.4818,-0.034835,0.12732,-0.14645,-0.13216,,
15.3437,-0.033303,0.089175,-0.21009,-0.19082,,
14.3661,-0.031787,0.050999,-0.27066,-0.24804,,
13.3763,-0.030292,0.0079209,-0.32429,-0.29281,,
12.3765,-0.0288,-0.0232,-0.37269,-0.34572,,
11.4758,-0.027274,-0.066849,-0.41481,-0.38427,,
10.4169,-0.025667,-0.10282,-0.44938,-0.41743,,
9.3495,-0.023914,-0.13681,-0.47982,-0.45071,,
8.2112,-0.021973,-0.17172,-0.50509,-0.46878,,
6.8864,-0.01976,-0.19589,-0.52171,-0.49141,,
5.5785,-0.017238,-0.22264,-0.53527,-0.5053,,
4.0911,-0.014363,-0.2562,-0.54075,-0.50589,,
2.4129,-0.011107,-0.27935,-0.54159,-0.51463,,
0.68512,-0.0074958,-0.30542,-0.53838,-0.50985,,
-1.3289,-0.0035287,-0.32632,-0.52881,-0.50003,,
-3.3905,0.00072874,-0.33936,-0.51794,-0.49177,,
-5.5374,0.0051968,-0.35718,-0.50248,-0.46771,,
-7.7985,0.00977,-0.36127,-0.48175,-0.45083,,
-9.8875,0.014338,-0.36343,-0.45687,-0.42665,,
-11.9112,0.018748,-0.37012,-0.42592,-0.3863,,
-13.7827,0.022847,-0.35933,-0.38991,-0.35207,,
-15.3177,0.0265,-0.35253,-0.35078,-0.30789,,
-16.6889,0.029562,-0.33518,-0.30396,-0.2624,,
-17.6342,0.031888,-0.31053,-0.2569,-0.21416,,
-18.1592,0.033382,-0.28645,-0.20333,-0.15479,,
-18.3091,0.033952,-0.24727,-0.14478,-0.10044,,
-17.8371,0.033562,-0.20584,-0.083043,-0.043455,,
-16.9249,0.032194,-0.16521,-0.014763,0.02466,,
-15.5718,0.029882,-0.11418,0.054589,0.087029,,
-13.7089,0.026699,-0.067608,0.12708,0.15455,,
-11.6213,0.022755,-0.01631,0.20026,0.21811,,
-9.1939,0.018192,0.035807,0.27018,0.27593,,
-6.5746,0.013207,0.080339,0.33752,0.33866,,
-3.9345,0.00797,0.13236,0.40043,0.38391,,
-1.1614,0.0027214,0.17739,0.45439,0.42689,,
1.4557,-0.0023274,0.21224,0.5025,0.46902,,
3.8292,-0.0069703,0.25212,0.54003,0.49309,,
5.9727,-0.01101,0.27421,0.56824,0.51583,,
7.5746,-0.014272,0.29143,0.58732,0.52553,,
8.757,-0.016629,0.30254,0.59018,0.52122,,
9.4241,-0.017981,0.30002,0.58194,0.51655,,
9.4825,-0.018297,0.29792,0.55999,0.49189,,
9.1447,-0.017566,0.28408,0.52299,0.45729,,
8.266,-0.015852,0.25747,0.47765,0.42042,,
6.9428,-0.013269,0.23353,0.42021,0.36452,,
5.3324,-0.009956,0.19751,0.35301,0.30993,,
3.3263,-0.0061277,0.15922,0.2815,0.24792,,
1.2043,-0.0019818,0.1194,0.20338,0.1804,,
-0.94928,0.0022238,0.071451,0.1257,0.11803,,
-3.1008,0.0062523,0.033652,0.047752,0.046448,,
-4.9,0.0098547,-0.00555,-0.027364,-0.018555,,
-6.4241,0.012811,-0.045318,-0.096917,-0.07434,,
-7.549,0.014916,-0.072564,-0.16458,-0.13827,,
-8.0813,0.01601,-0.10112,-0.22214,-0.18747,,
-8.1997,0.01599,-0.12112,-0.26866,-0.23008,,
-7.6965,0.014802,-0.13182,-0.30613,-0.26695,,
-6.612,0.012441,-0.14095,-0.3323,-0.28982,,
-5.0654,0.0089815,-0.13552,-0.34816,-0.31256,,
-2.8893,0.0045373,-0.12227,-0.35431,-0.32118,,
-0.3568,-0.00070309,-0.11379,-0.3491,-0.31759,,
2.4419,-0.0065207,-0.08907,-0.33535,-0.31711,,
5.4894,-0.012652,-0.072264,-0.31547,-0.3055,,
8.4113,-0.018801,-0.052829,-0.28585,-0.2885,,
11.2458,-0.024676,-0.026712,-0.2572,-0.27162,,
13.7958,-0.02996,-0.009398,-0.22689,-0.24924,,
15.8514,-0.034388,0.011134,-0.19671,-0.23308,,
17.5006,-0.037684,0.024048,-0.16985,-0.21428,,
18.4738,-0.039652,0.028259,-0.14584,-0.1913,,
18.7078,-0.040107,0.033734,-0.12539,-0.17837,,
18.246,-0.038956,0.024904,-0.1111,-0.16652,,
16.8431,-0.036165,0.0097418,-0.1003,-0.15622,,
14.7077,-0.031764,-0.0044798,-0.097212,-0.14976,,
11.8517,-0.025859,-0.032425,-0.10167,-0.14245,,
8.2799,-0.018619,-0.057082,-0.11102,-0.14629,,
4.3285,-0.010264,-0.089258,-0.12655,-0.15167,,
-0.044544,-0.0010834,-0.13037,-0.14464,-0.15299,,
-4.6712,0.0086046,-0.16241,-0.16505,-0.1646,,
-9.2618,0.01846,-0.19927,-0.18422,-0.16867,,
-13.8826,0.028137,-0.23117,-0.2002,-0.16987,,
-18.1746,0.03727,-0.25764,-0.21195,-0.17131,,
-22.0195,0.045544,-0.28776,-0.21688,-0.15957,,
-25.3563,0.052645,-0.29591,-0.21552,-0.15215,,
-27.834,0.058317,-0.2986,-0.20734,-0.13599,,
-29.5486,0.062369,-0.2986,-0.18879,-0.10283,,
-30.4275,0.064682,-0.28002,-0.16248,-0.077093,,
-30.3139,0.06517,-0.25973,-0.12523,-0.03723,,
-29.4522,0.063843,-0.22909,-0.076684,0.0073023,,
-27.6969,0.060776,-0.18304,-0.022834,0.051356,,
-25.1668,0.056112,-0.14311,0.040364,0.11157,,
-22.0492,0.050049,-0.082092,0.10754,0.16436,,
-18.2378,0.042836,-0.02279,0.17801,0.22266,,
-14.0748,0.03476,0.039316,0.2535,0.28778,,
-9.6769,0.026127,0.11126,0.32499,0.34189,,
-5.1122,0.017264,0.16842,0.39559,0.40043,,
-0.75636,0.0084799,0.2275,0.462,0.4525,,
3.4213,9.0765e-05,0.28438,0.51732,0.49356,,
7.2388,-0.0076356,0.32905,0.56336,0.53151,,
10.5096,-0.014468,0.37495,0.59819,0.5539,,
13.3451,-0.020208,0.41039,0.61891,0.56898,,
15.5046,-0.024734,0.4315,0.62934,0.57688,,
16.9926,-0.027961,0.4479,0.62578,0.56695,,
17.8954,-0.029878,0.4474,0.60932,0.55414,,
18.0061,-0.030513,0.43553,0.58504,0.52768,,
17.5594,-0.029963,0.41975,0.54539,0.48758,,
16.5714,-0.028352,0.38826,0.49474,0.4464,,
15.0491,-0.025861,0.35907,0.43392,0.38846,,
13.3287,-0.022686,0.31945,0.36171,0.32501,,
11.3216,-0.019031,0.2664,0.28967,0.26492,,
9.1616,-0.015122,0.22315,0.2142,0.18759,,
7.0636,-0.011163,0.16662,0.13659,0.11624,,
4.9088,-0.0073665,0.11323,0.061485,0.049081,,
2.9643,-0.0038888,0.06021,-0.012673,-0.023224,,
1.2612,-0.0008933,0.0018404,-0.083358,-0.087508,,
-0.2404,0.0015392,-0.042024,-0.15029,-0.15311,,
-1.2654,0.0033229,-0.08428,-0.21216,-0.21201,,
-1.9934,0.0044322,-0.12347,-0.26693,-0.26588,,
-2.399,0.0048827,-0.15775,-0.31579,-0.31927,,
-2.4038,0.0047071,-0.17321,-0.35641,-0.362,,
-2.2445,0.0039854,-0.22197,-0.3874,-0.38858,,
-1.8428,0.0028108,-0.19569,-0.41537,-0.43359,,
-1.1914,0.0013028,-0.27765,-0.42326,-0.39732,,
-0.58461,-0.00042196,-0.20635,-0.44113,-0.4956,,
0.29873,-0.0022475,-0.2468,-0.42711,-0.44604,,
1.1439,-0.0040548,-0.27784,-0.46102,-0.42066,,
1.8472,-0.0057505,-0.16961,-0.44288,-0.51978,,
2.6872,-0.0072444,-0.27369,-0.41988,-0.40259,,
3.1314,-0.0084802,-0.15151,-0.43089,-0.444,,
3.6216,-0.0094259,-0.21767,-0.39934,-0.40869,,
3.8837,-0.010075,-0.15115,-0.3739,-0.40019,,
4.0133,-0.010437,-0.17087,-0.3557,-0.35326,,
4.1422,-0.010553,-0.12452,-0.31745,-0.30993,,
4.1505,-0.010483,-0.10553,-0.28165,-0.29724,,
4.0819,-0.010294,-0.066912,-0.27762,-0.25259,,
4.0926,-0.010051,-0.065175,-0.20437,-0.2053,,
3.9773,-0.0098408,-0.041908,-0.16838,-0.15383,,
3.9377,-0.0097264,0.022366,-0.13977,-0.11827,,
4.0058,-0.0097741,0.037084,-0.078637,-0.074101,,
4.0927,-0.010023,0.060817,-0.019292,0.013168,,
4.4398,-0.010502,0.084319,0.021743,0.058658,,
4.8247,-0.011198,0.13504,0.06857,0.080924,,
5.3039,-0.012099,0.1586,0.1546,0.16963,,
5.9401,-0.013163,0.18112,0.18488,0.22422,,
6.4638,-0.014306,0.20775,0.25323,0.2557,,
7.0388,-0.015458,0.2223,0.28851,0.27833,,
7.5477,-0.016526,0.24151,0.33705,0.35853,,
7.8898,-0.017405,0.24851,0.38172,0.38822,,
8.1909,-0.017987,0.28737,0.40793,0.36607,,
8.2918,-0.018174,0.23603,0.438,0.45753,,
8.0697,-0.017895,0.2731,0.45054,0.42629,,
7.6874,-0.017075,0.2421,0.48585,0.44305,,
6.8692,-0.015693,0.25337,0.44814,0.46495,,
5.8122,-0.013715,0.23357,0.45877,0.4057,,
4.4796,-0.011165,0.17734,0.44155,0.43742,,
2.7815,-0.0080996,0.16816,0.39113,0.35889,,
1.0206,-0.0045915,0.13051,0.35541,0.34776,,
-0.96913,-0.00074356,0.10029,0.31467,0.29772,,
-3.0634,0.0033107,0.05237,0.2416,0.24181,,
-5.1103,0.0074143,0.016361,0.19421,0.21308,,
-7.2209,0.01142,-0.052313,0.13697,0.12689,,
-9.1896,0.015173,-0.061034,0.054889,0.095888,,
-10.9199,0.018509,-0.13025,0.003188,0.0249,,
-12.4625,0.021286,-0.16199,-0.066055,-0.035554,,
-13.5176,0.02338,-0.18712,-0.13738,-0.083558,,
-14.2117,0.024698,-0.23775,-0.19538,-0.16005,,
-14.5196,0.025174,-0.24038,-0.23862,-0.2059,,
-14.2776,0.02478,-0.28536,-0.30362,-0.246,,
-13.7605,0.023518,-0.28489,-0.34538,-0.30119,,
-12.7655,0.021441,-0.30397,-0.36916,-0.34524,,
-11.4002,0.01862,-0.32008,-0.41428,-0.36308,,
-9.8122,0.015191,-0.30687,-0.41918,-0.38211,,
-7.8323,0.011293,-0.30171,-0.44198,-0.43287,,
-5.7318,0.0070779,-0.29713,-0.44748,-0.41863,,
-3.57,0.0027423,-0.2871,-0.44774,-0.42318,,
-1.3452,-0.0015433,-0.26692,-0.45257,-0.45909,,
0.64856,-0.0055952,-0.25938,-0.45031,-0.43706,,
2.5103,-0.0092362,-0.23086,-0.44635,-0.44951,,
4.1241,-0.012331,-0.23223,-0.42608,-0.43802,,
5.3048,-0.014735,-0.19798,-0.42841,-0.43239,,
6.2852,-0.016381,-0.18987,-0.40742,-0.43551,,
6.8312,-0.017218,-0.17995,-0.38545,-0.3887,,
6.9582,-0.017212,-0.15423,-0.37771,-0.39516,,
6.7944,-0.016403,-0.14364,-0.35777,-0.36559,,
6.1439,-0.014857,-0.12602,-0.33449,-0.348,,
5.246,-0.012673,-0.11397,-0.3206,-0.32729,,
4.1033,-0.0099769,-0.10871,-0.29667,-0.27952,,
2.7116,-0.0069132,-0.089833,-0.26411,-0.27521,,
1.3791,-0.0036515,-0.076724,-0.24158,-0.21799,,
0.0016877,-0.00038104,-0.063576,-0.20086,-0.18316,,
-1.3127,0.0027465,-0.041427,-0.16351,-0.15335,,
-2.3754,0.005552,-0.025312,-0.12385,-0.096486,,
-3.3508,0.0079025,-0.0006178,-0.072311,-0.052912,,
-3.9939,0.0096756,0.025584,-0.015702,0.0022745,,
-4.3101,0.010774,0.048021,0.037767,0.063207,,
-4.3613,0.011152,0.094197,0.10123,0.12713,,
-3.9038,0.010786,0.12534,0.17391,0.18519,,
-3.1498,0.0096832,0.15994,0.23622,0.24995,,
-2.0899,0.007912,0.19979,0.30861,0.31639,,
-0.6745,0.0055499,0.23995,0.37733,0.37026,,
0.81722,0.0026993,0.28138,0.4449,0.4367,,
2.511,-0.0004995,0.31961,0.50951,0.49153,,
4.2741,-0.0038966,0.35,0.5731,0.54384,,
5.9566,-0.0073455,0.38543,0.62738,0.59376,,
7.7047,-0.010696,0.42026,0.67227,0.62764,,
9.2576,-0.013796,0.43941,0.71518,0.66822,,
10.5803,-0.016516,0.46165,0.73682,0.6845,,
11.7197,-0.018749,0.47145,0.75335,0.69564,,
12.4117,-0.020427,0.4726,0.762,0.69983,,
12.8072,-0.021486,0.47309,0.7499,0.68534,,
12.8718,-0.021901,0.45812,0.73195,0.6772,,
12.528,-0.021686,0.44436,0.69996,0.63853,,
12.0103,-0.02087,0.41787,0.6565,0.59544,,
11.1722,-0.019535,0.38118,0.60344,0.56252,,
10.0645,-0.017735,0.35355,0.54099,0.48866,,
8.8643,-0.015598,0.31026,0.46605,0.43395,,
7.391,-0.013217,0.26779,0.38843,0.36512,,
5.8935,-0.010702,0.22138,0.30614,0.28742,,
4.3732,-0.0081611,0.16583,0.22099,0.21979,,
2.8024,-0.0056803,0.12367,0.13319,0.13491,,
1.4622,-0.0033601,0.065548,0.049163,0.056743,,
0.1753,-0.001242,0.0060359,-0.037178,-0.018555,,
-1.0044,0.00063026,-0.040721,-0.12174,-0.10044,,
-1.9603,0.0022525,-0.093771,-0.19825,-0.1731,,
-2.9311,0.0036318,-0.13996,-0.27455,-0.24505,,
-3.7231,0.0047857,-0.18712,-0.34147,-0.31113,,
-4.4308,0.0058009,-0.24418,-0.39919,-0.37086,,
-5.1609,0.0067367,-0.28026,-0.45561,-0.42964,,
-5.7149,0.0076606,-0.32132,-0.50501,-0.47872,,
-6.344,0.0086797,-0.36172,-0.54458,-0.52026,,
-7.0495,0.0098824,-0.39234,-0.58263,-0.56072,,
-7.7666,0.011332,-0.42852,-0.6137,-0.59137,,
-8.7525,0.013101,-0.45816,-0.63413,-0.61459,,
-9.8363,0.015237,-0.47997,-0.65381,-0.63506,,
-11.0857,0.017757,-0.50604,-0.66624,-0.64177,,
-12.5654,0.020651,-0.51855,-0.67104,-0.65254,,
-14.0303,0.023895,-0.53181,-0.67364,-0.65003,,
-15.6416,0.027429,-0.54634,-0.66368,-0.63099,,
-17.3385,0.03115,-0.54719,-0.65032,-0.61998,,
-18.9596,0.034955,-0.55622,-0.63205,-0.5958,,
-20.6761,0.038713,-0.55008,-0.60519,-0.56395,,
-22.2161,0.042278,-0.53938,-0.5728,-0.53319,,
-23.559,0.04548,-0.526,-0.53424,-0.48507,,
-24.7105,0.048189,-0.5015,-0.48829,-0.44329,,
-25.3827,0.050258,-0.47631,-0.43524,-0.38978,,
-25.6972,0.051531,-0.44366,-0.37211,-0.32166,,
-25.5808,0.051929,-0.39542,-0.30502,-0.26252,,
-24.8984,0.051354,-0.34776,-0.22819,-0.18747,,
-23.8552,0.049769,-0.29418,-0.1487,-0.10858,,
-22.2551,0.04715,-0.23156,-0.065046,-0.030526,,
-20.1698,0.043534,-0.17117,0.025158,0.055186,,
-17.7196,0.038977,-0.095397,0.11447,0.13396,,
-14.7286,0.033592,-0.024895,0.2017,0.21691,,
-11.454,0.027493,0.044759,0.29259,0.29544,,
-7.9421,0.020845,0.12389,0.37558,0.36775,,
-4.198,0.013832,0.1903,0.45498,0.44532,,
-0.54264,0.0066508,0.26205,0.5313,0.50853,,
3.1231,-0.0004961,0.32463,0.59799,0.56671,,
6.6327,-0.0074082,0.37844,0.65716,0.61974,,
9.8242,-0.013897,0.43134,0.70659,0.65218,,
12.8356,-0.01979,0.47674,0.73776,0.68091,,
15.3944,-0.024935,0.50907,0.75822,0.70078,,
17.4906,-0.029218,0.53506,0.7656,0.69947,,
19.161,-0.03255,0.54544,0.7575,0.6924,,
20.1527,-0.03488,0.54981,0.73605,0.67229,,
20.688,-0.036213,0.54815,0.70295,0.63782,,
20.7172,-0.03657,0.52849,0.65542,0.60334,,
20.2042,-0.036023,0.50905,0.59639,0.54731,,
19.4172,-0.034657,0.47792,0.52722,0.48195,,
18.2274,-0.032611,0.43311,0.45195,0.42186,,
16.7444,-0.030029,0.39512,0.36788,0.34249,,
15.148,-0.02706,0.34366,0.28102,0.26348,,
13.2894,-0.023872,0.29311,0.19085,0.18316,,
11.462,-0.020638,0.24105,0.099421,0.097324,,
9.6687,-0.017497,0.18005,0.011508,0.021308,,
7.926,-0.014613,0.13249,-0.07524,-0.058897,,
6.5072,-0.012074,0.08322,-0.15688,-0.13455,,
5.2684,-0.0099925,0.03002,-0.2269,-0.19944,,
4.2821,-0.0084269,-0.0082442,-0.29502,-0.26396,,
3.6507,-0.0074029,-0.049329,-0.35289,-0.31675,,
3.1638,-0.0069388,-0.084402,-0.39788,-0.36452,,
3.0054,-0.0069922,-0.10886,-0.43748,-0.40666,,
3.0752,-0.0075025,-0.14262,-0.46572,-0.43215,,
3.2711,-0.0083926,-0.15484,-0.48518,-0.46088,,
3.7679,-0.0095602,-0.16717,-0.49721,-0.47549,,
4.3115,-0.010893,-0.18016,-0.49985,-0.47764,,
4.875,-0.01226,-0.18103,-0.49458,-0.48351,,
5.4988,-0.013542,-0.18627,-0.48271,-0.47501,,
5.8946,-0.014616,-0.18488,-0.46127,-0.46232,,
6.2116,-0.015379,-0.18035,-0.44047,-0.44544,,
6.3306,-0.015725,-0.18105,-0.41424,-0.41719,,
6.1544,-0.015574,-0.16818,-0.38482,-0.39516,,
5.8982,-0.014886,-0.16159,-0.35583,-0.36595,,
5.3177,-0.013631,-0.15908,-0.3222,-0.32872,,
4.4622,-0.011805,-0.15091,-0.28834,-0.30131,,
3.4269,-0.0094221,-0.14971,-0.25326,-0.26468,,
2.0291,-0.006557,-0.14394,-0.21809,-0.23068,,
0.4946,-0.0032677,-0.13758,-0.18372,-0.19345,,
-1.204,0.00037286,-0.13901,-0.15016,-0.15131,,
-3.0689,0.0042317,-0.12977,-0.11606,-0.11863,,
-4.8326,0.0082109,-0.12653,-0.082472,-0.080445,,
-6.6285,0.012177,-0.12478,-0.046496,-0.040582,,
-8.3614,0.016013,-0.11414,-0.014993,-0.0073023,,
-9.8797,0.019603,-0.11392,0.018387,0.030765,,
-11.3605,0.022832,-0.10679,0.053678,0.064524,,
-12.5404,0.025596,-0.098414,0.083749,0.097683,,
-13.4782,0.027834,-0.094934,0.11712,0.13503,,
-14.1898,0.029455,-0.076465,0.14805,0.15969,,
-14.4357,0.030428,-0.06151,0.17603,0.18926,,
-14.403,0.030725,-0.051,0.20645,0.22206,,
-14.057,0.030345,-0.026065,0.23307,0.24409,,
-13.3079,0.029293,-0.010236,0.25814,0.27186,,
-12.4023,0.027604,0.019752,0.2821,0.29281,,
-11.1646,0.025342,0.037285,0.30318,0.31065,,
-9.7081,0.022549,0.073706,0.31466,0.31951,,
-8.1001,0.019316,0.07954,0.328,0.35219,,
-6.2109,0.015708,0.12824,0.33025,0.33459,,
-4.2389,0.011825,0.14074,0.34915,0.34884,,
-2.2137,0.0077538,0.15753,0.34125,0.36176,,
-0.10169,0.0035761,0.18775,0.33834,0.33076,,
1.8953,-0.00061865,0.18757,0.33749,0.33986,,
3.8744,-0.0047493,0.21714,0.32016,0.31831,,
5.7693,-0.0087362,0.21621,0.30107,0.31208,,
7.4637,-0.012533,0.23683,0.28373,0.27354,,
9.1715,-0.016075,0.23874,0.2506,0.2478,,
10.6535,-0.019311,0.23439,0.22608,0.23104,,
11.9477,-0.022211,0.23551,0.19784,0.1895,,
13.131,-0.024758,0.23331,0.15179,0.15263,,
13.9844,-0.026932,0.21794,0.11826,0.11552,,
14.7017,-0.028725,0.19765,0.079215,0.078051,,
15.2199,-0.030149,0.17646,0.033131,0.037948,,
15.4749,-0.031209,0.16875,-0.014236,-0.022984,,
